time,Cutting_queue,Drilling_queue,Assembly_queue,Painting_queue
5,1,0,0,0
10,6,0,0,0
15,6,2,0,0
20,5,0,1,0
25,4,2,0,0
30,7,3,0,0
35,6,5,1,0
40,7,5,0,0
45,9,7,0,0
50,10,7,0,0
55,7,11,0,0
60,5,13,0,0
65,8,9,0,0
70,8,7,2,0
75,9,6,2,0
80,13,5,2,1
85,14,5,2,1
90,15,3,0,4
95,18,3,0,3
100,18,5,0,1
105,15,8,0,0
110,15,8,0,0
115,15,9,0,0
120,16,8,0,0
125,14,13,0,0
130,15,14,0,0
135,14,15,0,0
140,13,15,0,0
145,13,17,0,0
150,12,19,0,0
155,13,19,0,0
160,12,21,0,2
165,14,22,0,2
170,11,23,1,0
175,12,25,0,0
180,14,23,0,0
185,13,23,0,2
190,12,24,0,2
195,12,25,0,2
200,12,27,0,1
205,11,30,0,0
210,12,32,0,0
215,14,30,0,0
220,15,30,1,0
225,14,33,0,1
230,16,33,0,0
235,16,32,1,0
240,17,32,0,1
245,19,31,0,2
250,19,32,0,0
255,20,32,0,0
260,17,37,0,0
265,18,36,0,0
270,17,36,0,0
275,13,41,0,0
280,15,41,0,0
285,15,42,0,1
290,14,45,0,0
295,19,45,0,0
300,23,46,0,0
305,27,44,1,0
310,26,46,0,0
315,25,48,0,0
320,28,48,0,0
325,27,50,0,0
330,26,51,0,0
335,27,50,0,0
340,27,52,0,0
345,30,52,1,0
350,31,54,1,0
355,28,57,0,0
360,29,56,0,0
365,34,56,0,0
370,36,58,0,0
375,36,61,0,0
380,37,60,0,0
385,43,59,0,1
390,45,59,0,0
395,46,58,0,0
400,50,57,0,0
405,50,60,0,0
410,51,61,0,0
415,50,60,0,0
420,50,61,0,0
425,53,60,0,0
430,54,60,1,0
435,53,64,0,0
440,54,62,2,0
445,54,62,2,0
450,56,64,3,0
455,60,63,5,0
460,59,65,0,2
465,58,65,0,3
470,61,65,0,4
475,62,63,1,2
