time,wip
60,37
65,38
70,39
75,40
80,46
85,49
90,51
95,51
100,53
105,57
110,58
115,61
120,63
125,65
130,64
135,68
140,69
145,71
150,72
155,76
160,75
165,76
170,79
175,79
180,78
185,80
190,84
195,87
200,87
205,91
210,93
215,93
220,93
225,95
230,99
235,100
240,102
245,102
250,103
255,106
260,108
265,106
270,107
275,106
280,106
285,108
290,112
295,112
300,113
305,115
310,115
315,118
320,119
325,122
330,124
335,127
340,126
345,127
350,128
355,132
360,134
365,137
370,138
375,143
380,146
385,148
390,150
395,154
400,155
405,157
410,157
415,160
420,163
425,163
430,164
435,166
440,167
445,166
450,166
455,167
460,170
465,170
470,174
475,178
